"Грэм Б.: Разумный инвестор: Полное руководство по стоимостному инвестированию","10300","100","1"," Деловая литература"," Альпина Паблишер"," 12+","2017"," Русский"
"Толстой Л. Н.: Мысли мудрых людей на каждый день. Лениздат-классика","1250","0","0"," Философия"," Лениздат"," 16+"," 2015"," Русский"
"Сорокин В. Г.: День опричника. Эксклюзивная новая классика","1340","0","0"," Современная российская проза"," АСТ"," 18+"," 2015"," Русский"
"Кун Н. А.: Легенды и мифы Древней Греции. Мировая классика","1550","0","0"," Мировая история"," Азбука"," 12+"," 2015"," Русский"
"Стругацкий А. Н., Стругацкий Б. Н.: Понедельник начинается в субботу (Русская классика)","1650","100","1"," фантастика"," АСТ"," 12+"," 2015"," Русский"
"Мелвилл Г.: Моби Дик, или Белый кит (Эксклюзивная классика)","2750","0","0"," Всемирная классика"," Neoclassic"," 16+"," 2016"," Русский"
"Гессе Герман: Степной волк","1400","0","0"," Всемирная классика"," Neoclassic"," 16+"," 2014"," Русский"
"Даймонд Дж.: Ружья, микробы и сталь: история человеческих сообществ. Эксклюзивная классика","1490","0","0"," Научно-популярная литература"," Neoclassic"," 16+"," 2017"," Русский"
"Саид К.: Али и Нино (кинообложка)","2680","0","0"," Современная мировая проза"," Азбука"," 16+"," 2017"," Русский"
"Ван Гог В.: Письма к брату Тео (Азбука-классика. Non-Fiction)","2990","0","0"," Культура, искусство"," Азбука"," 16+"," 2014"," Русский"
"Бжезинский З.: Великая шахматная доска. Эксклюзивная классика","3750","100","1"," Публицистика"," Neoclassic"," 16+"," 2017"," Русский"
"Кинг С.: Мобильник. Твердый переплет","2095","0","0"," фантастика"," АСТ"," 16+"," 2013"," Русский"
"Бурбо Л.: Исцеление пяти травм","1590","100","1"," Эзотерика"," София"," 16+"," 2017"," Русский"
"Аморузо С.: #Girlboss. Как я создала миллионный бизнес, не имея денег, офиса и высшего образования","4550","0","0"," Бизнес образование"," ОДРИ"," 16+"," 2018"," Русский"
"Кларк Д.: Alibaba. История мирового восхождения","6900","88","5"," Бизнес образование"," Бомбора"," 12+"," 2018"," Русский"
"Пинтосевич И.: Действуй! 10 заповедей успеха (с узором)","950","100","1"," Психология популярная"," Бомбора"," 16+"," 2018"," Русский"
"Ремарк Э. М.: Время жить и время умирать. Эксклюзивная классика","5150","0","0"," Всемирная классика"," Neoclassic"," 16+"," 2018"," Русский"
"Исида С.: Токийский гуль. Кн. 5","3590","100","1"," Манга"," Азбука"," 18+"," 2019"," Русский"
"Кауфман Дж.: Сам себе MBA","1105","0","0"," Деловая литература"," МИиФ"," 12+"," 2019"," Русский"
"Шопенгауэр А.: Афоризмы житейской мудрости. Эксклюзивная классика","12100","0","0"," Философия"," Neoclassic"," 12+"," 2018"," Русский"
"Майдонова С. В.: Полный курс японского языка + CD","1675","100","1"," Иностранные языки"," АСТ"," 12+"," 2018"," Японский"
"Сатпаев Д.: Деформация вертикали","5290","95","4"," Публицистика",," 18+"," 2019"," Русский"
"Мифы Древней Греции, Для тех, кто хочет все успеть","2890","0","0"," Мировая история"," Эксмо"," 12+"," 2020"," Русский"
"Рамзи Г.: Культ домашней еды: Завтраки, обеды, ужины","1850","100","1"," Кулинария"," Колибри"," 16+"," 2019"," Русский"
"Роуч М.: Как работает йога. Философия физического и духовного самосовершенствования","2340","80","1"," Здоровье"," АСТ"," 16+"," 2019"," Русский"
